headline,is_satirical
"Mélanie Plouviez : «La transmission de l’héritage à ses enfants ne va pas de soi, contrairement à ce que tout le monde pense»",0
"Assistants fictifs : malgré les lourdes pénalités, le RN en très bonne santé financière",0
"Marine Le Pen : l’itinéraire exemplaire de la juge Perthuis, par Daniel Schneidermann",0
Appel : défendons la démocratie face à ceux qui la minent,0
"Fais comme l’oiseau, par Jakuta Alikavazovic",0
"«Moi, si je fais la même chose qu’elle, il m’arrivera quoi  ?» De Lille à Marseille, les Français face à la condamnation de Marine Le Pen",0
"«Pour combattre ma timidité, il faut que je devienne une autre personne» : l’éreutophobie ou quand rougir est vécu comme un handicap",0
"Laura Loomer, l’influenceuse complotiste et islamophobe qui a ses entrées dans le Bureau ovale de Trump",0
Quand les Japonaises se parfument avec l’effluve des héros,0
Taxe foncière : les propriétaires de terrasses et balcons vont-ils vraiment payer plus cher en 2025 ?,0
"Coffret Alfred Hitchcock, ses années ignorées en 10 films",0
"Moteurs chinois : à Renault Cléon, les syndicats craignent de ne pas profiter de l’électrique «made in France»",0
"Emmanuel Macron et Algérie, huit ans de chaud et froid : gestes mémoriels, crise des visas, arrestation de Boualem Sansal…",0
"Appel, Cassation, QPC… Après sa condamnation, quels sont les scénarios judiciaires pour Marine Le Pen d’ici à la présidentielle de 2027 ?",0
"So Me : «Certains styles de musique gagnent à être vus et écoutés en live, pas toujours la pop»",0
"Avec son album «Toujours plaire», Julia Jean-Baptiste le cœur lourd et la tête haute",0
Martinique : le leader du mouvement contre la vie chère Rodrigue Petitot a été libéré,0
"La recherche est un pilier de notre souveraineté stratégique, par Fabien Roussel",0
Manifestation du RN dimanche : évidemment que c’est un rassemblement contre les juges !,0
"Top des ventes de livres : avec «Intérieur nuit», Nicolas Demorand nouveau numéro 1",0
Bayern Munich : Thomas Müller annonce que la direction de son club ne le prolongera pas après 25 ans de présence,0
"La démondialisation trumpienne, une chance pour la social-démocratie en France et en Europe",0
"Food market bobo et loisirs indoor : de Vill’up à Boom Boom Villette, un an d’une métamorphose payante à Paris",0
Terreur Graphique à l’hôtel Europa : quand le RN pleure à (fa)chaudes larmes,0
"La semaine de Coco : Marine Le Pen condamnée, Trump désapé",0
"#BalanceTonPorc : le premier mis en cause, Eric Brion, a été fait chevalier de l’ordre national du Mérite",0
"«Les Vivants» d’Ambre Chalumeau, drame à trois",0
Des comédiens amateurs de Seine-Saint-Denis se préparent à jouer dans le camp de Buchenwald : «Je suis en train de faire un truc qui me dépasse»,0
EN IMAGES - Les capitales européennes sous un soleil printanier,0
Grève SNCF : un collectif de contrôleurs soutient le mouvement social le week-end du 8 mai,0
La recette de Misato Moutte-Takeuchi pour 10 sakuramochis,0
"Le top 10 de la semaine du service culture : «Deux sœurs» de Mike Leigh, Artemisia Gentileschi, «The Studio»…",0
"Cinq ans après l’apparition du Covid, le retour d’expérience de témoins directs",0
Deux policiers de l’office antistupéfiants de Marseille incarcérés,0
"En Corée du Sud, le baroud d’honneur de la droite et de l’extrême droite pour son président déchu",0
"Sam Akpro, Naya Mö, Vincent Delerm, Camion Bip Bip… la playlist du cahier musique de «Libération»",0
"Séisme en Birmanie : plus de 3 300 morts, l’Inde continue ses livraisons d’aide humanitaire",0
"Au Royaume-Uni, les magasins misent sur la reconnaissance faciale pour repérer les voleurs",0
"BD : «Bouquet de peurs», la frayeur de vivre",0
"A Villeurbanne, des soignants agressés pour une trop longue prise en charge",0
L’ex-propriétaire de Camaïeu et Go Sport Michel Ohayon mis en examen pour abus de biens sociaux,0
Gaza : une vidéo dément la version israélienne sur la mort de 15 secouristes palestiniens,0
"Sur le plateau de Millevaches en Corrèze, un couple de loups face à la colère agricole",0
Droits de douane : ces 5 produits américains fétiches qui sont en réalité fabriqués en Europe,0
Droits de douane : Trump promet aux Américains un résultat historique,0
Droits de douane : pourquoi les Etats-Unis s’isolent-ils du reste du monde alors que c’est économiquement risqué ?,0
"Après la condamnation de Marine Le Pen, un appel à manifester pour «l’Etat de droit» samedi 12 avril",0
"A Marseille, une réunion de militants RN convaincus que Marine Le Pen est «parfaitement innocente»",0
"Retour des beaux jours : «Dans un contexte pareil, ce petit élément de joie est perçu de façon encore plus intense»",0
«Un climat de peur et d’autocensure s’installe dans tout le milieu culturel» des Etats-Unis de Donald Trump,0
"Le photographe Marc Riboud au musée Guimet, les damnés de la guerre",0
Narcotrafic : une greffière marseillaise placée en détention,0
"Adèle Castillon : cette pochette d’album, «c’est une belle métaphore de ce qu’est un artiste»",0
"Le PSG sacré champion de Ligue 1, toujours invaincu après 28 matchs cette saison 2024-2025",0
Deux cyclistes meurent lors du Tour des Flandres amateurs,0
"Déjà condamné pour la mort de 48 personnes, le serial-killer russe Alexandre Pitchouchkine veut avouer une dizaine d’autres meurtres",0
François Bayrou juge «ni sain ni souhaitable» le rassemblement du RN à Paris en soutien à Marine Le Pen,0
Droits de douane : l’industrie cosmétique française très délicate à délocaliser,0
"Droits de douane américains : «Ne rien faire, ce serait accepter la nouvelle donne alors que les autres pays ripostent»",0
Les timides anonymes : «J’ai plusieurs stratégies d’oubli de moi-même»,0
Droits de douane : le secteur du luxe attend d’être mis au parfum,0
"Matrix, monarchie et culte du QI : Curtis Yarvin, le gourou du trumpisme qui veut éteindre la démocratie",0
EN GRAPHIQUES - Droits de douane de Trump : comprendre les enjeux de la guerre commerciale entre les Etats-Unis et le reste du monde,0
«Les policiers voulaient avoir le contrôle sur nous» : quatre agents jugés pour une multitude de PV sanctionnant de fausses infractions,0
"«Je suis désolé de ne pas avoir pu répondre à vos attentes» : en Corée du Sud, le président Yoon Suk-yeol destitué par la Cour constitutionnelle",0
«Libérez Marine Le Pen !» : Donald Trump et JD Vance apportent leur soutien à la dirigeante de l’extrême droite française,0
"Destitution du président sud-coréen, soutien de Trump à Marine Le Pen, plainte pour agression sexuelle dans un établissement catholique de Neuilly-sur-Seine… L’actu de ce vendredi matin",0
"La culture, moteur de transformation des territoires",0
"Accusé de viol, le psychanalyste Gérard Miller déplore de ne pas pouvoir se «défendre»",0
"Au procès de l’ancien psychiatre de Marseille, l’accusé enferré dans une défense entre déni et théorie du complot",0
"«Vous ne pouvez pas annexer un autre pays», lance depuis le Groenland la Première ministre danoise à Trump",0
Le capitalisme selon Trump ? C’est la guerre,0
"Vente de TikTok : à la veille de la date limite, Trump prolonge encore le délai de 75 jours",0
"En Corée du Sud, la destitution du président Yoon Suk-yeol met fin à quatre mois de crise : «C’est un miracle que nous avons accompli ensemble»",0
"Avec un lit trois places, mettez la monogamie au tapis",0
"Donald Trump décapite le renseignement américain, sur les conseils d’une complotiste",0
"Face aux droits de douane américains, le ministre français de l’Economie appelle au «patriotisme» des entreprises",0
"Le rédacteur en chef du quotidien «l’Est républicain», Sébastien Georges, quitte ses fonctions après une motion de défiance",0
"«De rockstar à tueur, le cas Cantat» sur Netflix : des enjeux toujours d’actualité",0
"Offensive terrestre dans l’est de Gaza City, responsable du Hamas tué au Liban, possible «crime de guerre»… L’actu du conflit au Proche-Orient ce vendredi 4 avril",0
Le médiatique chirurgien esthétique Sydney Ohana mis en examen pour viol,0
Inéligibilité de Marine Le Pen : un pourvoi en cassation permettrait-il forcément à la candidate de se présenter en 2027 ?,0
"Guerre commerciale : Wall Street dégringole encore, le CAC 40 a effacé ses gains depuis le début de l’année",0
"En Ardèche, procès fiévreux entre chasseurs et communauté autogérée : «Ce n’est pas parce que l’on est le fils de Pierre Conty que ça compte double»",0
"«Un goût de thé amer» de Mohammed Alnaas : la vie sous le Guide libyen, mode d’emploi",0
"En juin 2024, LFI était pour l’exécution provisoire de certaines peines liées à une élection",0
