cleaned_headline,is_satirical
"Ligue des nations : 16.000 supporters des Bleus seront à Stuttgart, un record pour un match à l'étranger",0
"Champions Cup : Toulon-Saracens, deuxième match le plus prolifique de l'histoire de la compétition",0
"Décès de John Nelson, chef d'orchestre américain qui a fait de Berlioz son cheval de bataille",0
"Accusé de viols, le psychanalyste Gérard Miller déplore de ne pas pouvoir se ""défendre""",0
"Allemagne : pour la première fois, l'AfD et la CDU-CSU en tête, à égalité, dans un sondage",0
"Après l'interruption de son cours à l'Université Lyon-II, Fabrice Balanche porte plainte",0
"Manifestations en soutien à Marine Le Pen : avant le meeting à Paris dimanche, 500 personnes se rassemblent à Marseille",0
"Champions Cup : Toulon, auteur d'une folle remontée contre les Saracens, rallie les quarts de finale",0
"Gaza : une vidéo des dernières minutes des secouristes tués contredit la version israélienne, affirme le Croissant-Rouge",0
"Tennis : ""Je suis innocent"", clame Jannik Sinner, suspendu pour dopage",0
L'homme d'affaires Michel Ohayon mis en examen pour banqueroute et abus de biens sociaux,0
"En visite au Sri Lanka, Narendra Modi conclut des accords de défense et sur l'énergie",0
"""Il n'y a rien à cacher"" : le Cambodge inaugure une base navale rénovée par la Chine, sur fond d'inquiétudes américaines",0
"En Iran, un vice-président limogé après une expédition luxueuse en Antarctique",0
"Les médias d'État chinois, aidés par l'IA, mettent en scène les conséquences néfastes des droits de douane de Trump",0
"""C'est dur, les clients viennent moins souvent"" : étranglés par les charges et l'inflation, les salons de coiffure ferment un à un",0
"En Corée du Sud, des milliers de manifestants dans les rues pour dénoncer la destitution de l'ex-président Yoon",0
"""Nous avons choisi de courir pour la vie"" :Le Figaroétait au marathon de Jérusalem, la course aux émotions d'une nation en guerre",0
"En Ukraine, la musique bat son plein malgré la guerre",0
"Tunisie : dans un contexte explosif, le pays démantèle des camps de migrants originaires d'Afrique subsaharienne",0
Birmanie : le bilan du séisme dépasse les 3300 morts,0
"Papouasie-Nouvelle-Guinée : un séisme de magnitude 6,9 enregistré au large de l'île",0
"États-Unis : une juge ordonne le retour d'un immigré expulsé ""par erreur"" dans une prison du Salvador",0
"F1 : phénoménal, Max Verstappen (Red Bull) partira en pole position du GP du Japon",0
Un cas de chikungunya importé de La Réunion signalé en Martinique,0
"À rebours de Nantes, la mairie socialiste de Saint-Nazaire va armer sa police municipale",0
États-Unis : une feuille de route pour financer le programme de Donald Trump débattue au Sénat,0
"""Oups, ils ne couleront plus jamais nos navires !"" : Trump publie une vidéo choc d'une potentielle attaque au Yémen",0
Violences sexuelles sur mineurs : Los Angeles va payer quatre milliards de dollars de dommages et intérêts,0
Volés dans un zoo et revendus sur Snapchat à Marseille : les dessous d'un incroyable trafic de singes,0
Canal de Panama : un appel d'offres pour la construction d'un gazoduc bientôt lancé,0
"Corée du Nord : Kim Jong-un essaie un nouveau fusil de précision et, sans surprise, tape dans le mille",0
Les droits de douane fixés à 10% par Donald Trump entrent en vigueur,0
"Rodéos, tronçonneuse, coups de feu : près de Bordeaux, des habitants désespérés par les nuisances de gens du voyage",0
"Northampton-Clermont : Pollock stratosphérique, l'ASM à l'agonie… Les tops et les flops",0
"Enquête interne au Théâtre du Soleil après des accusations de ""dérives sexuelles""",0
"Bosnie : une secrétaire d'État allemande dit avoir été menacée de ""violences"" dans l'entité serbe",0
"Essonne : victime d'une prise de catch, un collégien hospitalisé en urgence absolue",0
Oise : quatre hommes arrêtés pour pédocriminalité et traite d'êtres humains,0
"Champions Cup : fin de l'aventure pour Clermont, balayé à Northampton",0
"Ligue 1 : battu à domicile par Nantes, Nice toujours au point mort dans la course à l'Europe",0
SpaceX en lice pour décrocher un contrat de plusieurs milliards de dollars avec le Pentagone,0
Italie : le gouvernement vote pour un tour de vis sécuritaire,0
Nouvelles accusations contre le rappeur P. Diddy avant son procès pour trafic sexuel,0
"Toulouse : cinq hommes lourdement armés arrêtés, quatre d'entre eux mis en examen",0
Les images du retour sur terre réussi de la première mission spatiale habitée à survoler les pôles,0
Béziers : une ex-fonctionnaire suspectée de fraude aux titres de séjour jugée le 9 avril,0
"Décès du chanteur Amadou Bagayoko, membre du légendaire duo de musiciens aveugles Amadou et Mariam",0
"Perpignan : l'esplanade Pierre-Sergent, co-fondateur de l'OAS, devient place des ""victimes du FLN"" algérien",0
Golf de Trump en Écosse endommagé : deux nouvelles arrestations,0
"Philippe Corbé, ex-BFMTV, devient directeur de l'information de France Inter",0
"Après l'Élysée, Hollande fait entrer les Tuche à Sciences Po… Les indiscrets duFigaro",0
"Mort de Lisa, onze mois: le procès des crèches privées n'a pas eu lieu",0
États-Unis : Barack Obama et Kamala Harris critiquent les politiques de Donald Trump,0
Hauts-de-Seine : un enfant de 20 mois meurt étouffé à la crèche en mangeant une banane,0
"À Reims, les trois agresseurs de Bastien Payet condamnés à 14 ans de prison",0
"Drogue, papillons et miels érectiles… Marseille, plaque tournante de tous les trafics",0
"Sud de Lyon : lancement d'un chantier ""pilote"" contre les PFAS dans l'eau",0
"L'Union européenne annonce une ""nouvelle ère"" dans ses échanges avec l'Asie centrale",0
"Rolex, Richard Mille : un Qatari se fait voler pour 1,1 million de montres de luxe dans un train",0
Marseille : deux policiers de l'Office anti-stupéfiants mis en examen suite à des soupçons de corruption,0
Droits de douane : Nintendo reporte les précommandes de sa console Switch 2 aux États-Unis,0
"Chute des Bourses : ""Depuis deux jours, le risque récessionniste mondial prend le dessus, tout baisse""",0
SNCF : un influent collectif de contrôleurs soutient la grève pour le pont du 9 au 11 mai,0
Méningites B : un vaccin désormais remboursé pour les adolescents et jeunes adultes,0
"Normandie : 800 kilos de cocaïne saisis, un trafic par voie maritime démantelé",0
La Réunion : le plan blanc déclenché contre l'épidémie de chikungunya,0
Royaume-Uni : une militante anti-IVG condamnée pour avoir violé la zone de sécurité d'une clinique d'avortement,0
Le gouvernement américain interdit à son personnel en Chine toute relation amoureuse ou sexuelle avec des citoyens locaux,0
"La France et l'Indonésie vont renforcer leurs liens de défense et économiques, souhaite Emmanuel Macron",0
"Donald Trump n'a pas ""affaibli"" l'engagement de défense collectif au sein de l'Otan, déclare Mark Rutte",0
"États-Unis : venu pour sauver la vie de son frère, un Vénézuélien détenu devrait être libéré",0
"Le comédien britannique Russell Brand inculpé pour viol, agressions sexuelles et attentat à la pudeur",0
"""Tout ce que j'ai fait, je l'ai fait pour mon pays"", se défend l'ancien président philippin Rodrigo Duterte devant la CPI",0
"Accidents de trottinettes en série à Lyon, plusieurs jeunes dans un état grave",0
"Procès du FN : ""Les députés ne pouvaient avoir connaissance de l'infraction"", maintient l'avocat de Marine Le Pen",0
"Elton John considère son nouvel album Who Believes in Angels ? comme le "" plus innovant "" depuis les années 1970",0
"Nantes : après avoir demandé à une élève de retirer son voile, une enseignante prise à partie et filmée à son insu",0
Droits de douane : Bercy n'exclut pas de lâcher son objectif de déficit si la guerre commerciale s'aggrave,0
Lyon : lingots d'or et voitures de luxe saisis dans le cadre d'une vaste escroquerie à 6 millions,0
Réduction des émissions de gaz à effet de serre: semaine clé en vue pour le secteur maritime,0
Gard : un père de famille tué par un autre parent après une rixe entre leurs adolescents,0
La justice interdit la construction du plus grand parc éolien terrestre de France,0
Espagne : trois morts dans l'effondrement d'un hangar provoqué par une tempête,0
Nantes : la justice suspend une note permettant d'examiner la situation des étrangers en situation régulière gardés à vue,0
70 enfants pris de soudains maux de tête dans une école des Alpes-Maritimes,0
"Hauts-de-Seine : un couple et leurs enfants menacés au couteau par des cambrioleurs, 300.000 euros de préjudice",0
"LGV du Sud-Ouest : près de Bordeaux, les opposants réclament l'arrêt de travaux",0
