cleaned,is_satirical
Les États-Unis s'engagent à fournir 20 000 drapeaux blancs à l'Ukraine,1
"Élisabeth Borne salue le courage du pape François ""qui continue de travailler après 88 ans, lui""",1
Donald Trump dévoile les codes de l'arme nucléaire sur X,1
DAZN offre un abonnement à tous les Français dont le prénom comporte une voyelle,1
Poisson artificiel,1
Vladimir Poutine offre l'asile politique à Marine Le Pen,1
Turquie – L'avocat de l'avocat du maire d'Istanbul arrêté à son tour,1
Elon Musk déclare qu'il n'est pas raciste car il a un ami orange,1
Le régime algérien se sent beaucoup plus en sécurité depuis qu'il a condamné un écrivain à de la prison ferme,1
Donald Trump toujours incapable de dormir sans veilleuse depuis les menaces de Raphaël Glucksmann,1
"Donald Trump fait supprimer les lettres L, G, B, T, Q, I et A de l'alphabet",1
Texas – Un condamné à mort inquiet que son dernier repas contienne du gluten,1
"Après la Coupe du Monde 2034, l'Arabie Saoudite organisera votre anniversaire",1
"""OUIN OUIN OUIN OUIN OUIN OUIN"" par Frédéric Beigbeder",1
"Pour participer à l'effort de guerre, la France relance la fabrication de FAMAS en cours de techno",1
"Par amour, il suit un entraînement spécial pour retenir la date d'anniversaire de sa petite amie",1
Marseille : Plusieurs piétons distraits gênent le bon déroulement d'un règlement de comptes,1
"En cas de guerre, Emmanuel Macron annonce qu'il mobilisera en premier les chômeurs longue durée",1
Ukraine : Vladimir Poutine propose l'envoi de 200 000 soldats russes comme force de maintien de la paix,1
Des traces de bon sens retrouvées dans les emballages réemployables utilisés par un client qui achetait en vrac,1
Des collégiens se retrouvent coincés avec une schizophrène de 26 ans pendant 2h,1
Un sexagénaire se fait offrir de la cervelle par un schizophrène de 26 ans,1
Liège : un schizophrène s'introduit dans l'appartement d'une femme avec une scie,1
Des morceaux d'un compositeur disparu retrouvés au domicile d'un schizophrène,1
Il se met au rugby pour donner un sens à son alcoolisme,1
5 astuces pour faire la différence entre l'URSSAF et un brouteur,1
"Deux heures après sa sortie, le nouveau tube de Patrick Bruel déjà programmé sur ""Nostalgie""",1
"M6 demande à Cyril Hanouna d'humilier Bruno Guillon "" avec respect """,1
"Il peine à gagner le respect de ses neveux alors qu'il utilise l'expression ""chokbar""",1
"Après avoir échoué dans tous les domaines, il devient coach en reconversion professionnelle",1
"Grâce aux économies qu'il a pu faire en achetant en vrac, il s'offre un billet d'avion pour les Seychelles",1
"Durant son absence, le pape François sera remplacé par son fils",1
Lutte contre le harcèlement de rue : les femmes invitées à ne plus se maquiller et à s'habiller en jogging super moches,1
Un ancien SS hésite à se créer une page Copains d'avant,1
Nicolas Sarkozy aide deux avocats à retrouver leur chemin dans les couloirs du tribunal de Paris,1
"À 91 ans, il rembourse enfin son prêt étudiant",1
Il retombe amoureux de sa femme le jour où sa maîtresse le quitte,1
Fact-Checking : la vidéo où Trump tenait des propos décents a bien été générée par IA,1
"Accro aux jeux vidéo, il piétine 8 tortues puis se coince dans un tuyau",1
"En déplacement à Nouméa, Manuel Valls découvre qu'on ne lui a pas pris de billet retour",1
Les 50 plus beaux harcèlements de Cyril Hanouna,1
""" Recherche appartement ou maison "" sera désormais présenté par Jean-Marc Morandini",1
Cyril Hanouna précipite son minibus avec ses chroniqueurs du haut d'une falaise,1
Un enfant d'agriculteurs voit des Parisiens pour la première fois au Salon de l'Agriculture,1
Il signe pour être steward mais se retrouve testeur de parachute,1
Pour ou contre l'annulaire ?,1
Le harcèlement moral en entreprise sera désormais confié à une Intelligence Artificielle,1
Adolf Hitler scandalisé par les allégations d'appartenance au nazisme sur sa page Wikipédia,1
Bruno Retailleau favorable à l'interdiction de sourire aux personnes en situation irrégulière,1
Donald Trump ordonne à l'Ukraine de s'excuser d'avoir été envahie par la Russie,1
"Doutant des capacités de Dieu, le Pape s'en remet à l'hôpital pour le guérir",1
""" Serre Che "", ""Courche "", "" Val Tho "" : 8 expressions qui vous feront être détestés immédiatement",1
"La cérémonie des César intégrera une catégorie ""Meilleur film sans François Civil""",1
Fact-check : Votre budget 2025 peut-il lui aussi être rejeté par les députés ?,1
Disneyland Paris : une nouvelle attraction simule un temps d'attente inférieur à 10 minutes,1
Municipales à Paris – Les quatre candidats écologistes se départageront dans une course en Vélib,1
Deux internautes surpris en train de débattre de façon cordiale sur X,1
Big Flo et Oli avouent ne pas savoir non plus qui est Big Flo et qui est Oli,1
La vidéo sur l'importance de déconnecter partagée 300 000 fois sur les réseaux sociaux,1
"Selon Mediapart, François Bayrou a tout fait pour cacher aux Palois qu'ils habitaient à Pau",1
Les 12 meilleurs quartiers de Dreux pour une soirée romantique,1
"Saint-Valentin – Il se trompe de conversation et envoie "" je t'aime "" à sa femme",1
Un acteur sombre dans la dépression après avoir découvert qu'il ne jouait pas dans Bref.2,1
"Les effets du massage ""soin et relaxation"" s'estompent quand elle découvre son prix",1
"Pour fêter leurs 7 ans, ils remplacent les rapports sexuels par des échanges de mèmes sur Instagram",1
Dieu reporte la fin du monde en raison de chutes de neige,1
"Selon une étude, les gens qui disent "" c'était mieux avant "" étaient beaucoup mieux avant",1
"Selon des scientifiques, Michel Barnier n'a jamais existé et n'était qu'une hallucination collective",1
Il oublie sa vie misérable en lisant deux milliardaires s'insulter sur un réseau social,1
"11 ans après sa création, le compte LinkedIn de l'Urssaf obtient son premier like",1
Donald Trump accepte de construire son Disneyland à Gaza en direction de la Mecque,1
"François Bayrou qualifié de ""fragile"" par Élisabeth Borne pour n'avoir eu recours qu'à trois reprises au 49.3",1
Les meilleurs fast-foods où travailler avec un master en sciences sociales,1
"Après l'examen de ses tweets, Rachida Dati autorise Jean-Marc Morandini à continuer son émission",1
Une maternité offre un enfant supplémentaire à sa millionième patiente,1
Donald Trump confirme vouloir annexer Bourg-la-Reine,1
Bernard Arnault entame une grève du caviar pour protester contre le projet de surtaxe des entreprises,1
Mon enfant n'est pas HPI : que faire?,1
Il devient champion du monde de mémoire en citant de tête toutes les affaires de Nicolas Sarkozy,1
Donald Trump signe un ordre exécutif reconnaissant l'existence de la Terre Plate,1
Gérard Larcher s'excuse pour l'installation d'un Burger King au Sénat,1
Top 31 des jours les plus longs du mois de janvier,1
Pierre Dac : L'Os à Moelle avec le Gorafi,1
"Après un accident, un jeune de 22 ans entend toute sa vie défiler dans un vocal",1
Un chirurgien oublie par inadvertance son stagiaire dans un patient,1
Édito : Pourquoi Le Gorafi quitte le réseau social Pinterest,1
Incendies en Californie – Le président Trump fait larguer 8000 litres de Coca Light sur les feux,1
"Budget – Le gouvernement étudie la possibilité de taxer ""les SDF qui peuvent se le permettre""",1
"Filmé en train d'envahir la Pologne, Elon Musk évoque un ""geste maladroit""",1
"Pour compenser leur coût écologique, les logiciels d'IA généreront automatiquement une image d'arbres",1
Guillaume Canet prépare une trilogie de biopic sur Guillaume Canet,1
"Rencontre avec Régis, dernier CRS à ne pas être passé sur W9",1
Elon Musk – Notre classement de ses meilleures aquarelles,1
"Les personnes qui touchent le RSA devront désormais se faire tatouer ""je suis un vilain assisté"" sur le front",1
"Sylvothérapie : faute d'arbres, un cadre parisien fait des câlins à des parcmètres",1
Investiture – Donald Trump a prêté serment sur un Playboy,1
Un faux Clovis Cornillac réussit à escroquer 7 euros à une femme sur internet,1
Sur quelle plateforme insulter des inconnus après avoir quitté X ?,1
"Le groupe WhatsApp intitulé "" chefs d'Etats sans Donald "" réactivé en urgence",1
"Blue Monday : il s'habille tout en bleu, ses collègues préfèrent l'ignorer",1
Top 5 des pistolets paralysants pour faire son jogging quand on est une femme,1
"20 ans plus tard, il comprend enfin une scène de Mulholland Drive",1
Mal-être au travail : Un patron visionnaire remplace l'intégralité de ses employés par des happiness managers,1
Los Angeles – Des milliers de sinistrés obligés de vivre dans leur résidence principale,1
Le forcené qui mettait de la compote de pommes dans les Galettes des rois abattu par le RAID,1
Comment nudger votre quotidien et reset votre mindset pour ban les anglicismes ?,1
Shein va désormais indiquer sur ses t-shirts l'âge de l'enfant qui l'a fabriqué,1
Les Français pourront consulter gratuitement un psychologue pour parler de la politique d'Emmanuel Macron,1
"Après une séance d'hypnose, François Bayrou découvre qu'il était un yaourt dans une vie antérieure",1
Le prochain numéro de Rendez-vous en terre inconnue embarquera Élisabeth Borne dans une école publique,1
10 rouquins à courser pour reprendre le sport,1
"En hommage à Jean-Marie Le Pen, Europe 1 diffusera 12 heures de bruits de bottes",1
"En hommage à Jean-Marie Le Pen, CNews jettera tous ses chroniqueurs d'origine algérienne dans la Seine",1
Il reprend foi en son destin après que son profil est apparu dans 3 recherches sur LinkedIn,1
"Avant de mourir, Jean-Marie Le Pen a vu toute sa vie défiler devant son œil",1
Jean-Marie Le Pen devient enfin un détail de l'Histoire,1
"Fact-checking : Emmanuel Macron a-t-il souhaité une ""bonne année 2025 à tous les Français, sauf les pauvres"" ?",1
Le premier homme à avoir réussi à se connecter au WIFI SNCF avoue avoir menti,1
"Pour remonter le moral des Français, L214 sort son bêtisier 2024",1
Fact checking : êtes-vous vraiment tout ce que Mariah Carey veut pour Noël ?,1
Personnalités de l'année 2024 : Les Phryges,1
Nicolas Sarkozy offre un poste de député LR et une conférence de presse à son fils pour Noël,1
"La femme qui cherchait "" un homme simple avec un peu d'humour "" sort finalement avec le DJ bodybuildé",1
François Bayrou découvre Manuel Valls dans une fenêtre de son calendrier de l'Avent,1
"Qu'est-ce que le ""manging en famille"", cette tendance qui revient souvent à Noël ?",1
75% des Français favorables au remplacement de François Bayrou par un raton laveur,1
"Selon une étude, la plus belle preuve d'amour serait de partager ses codes Canal+",1
Mayotte – François Bayrou survolera l'île sur Google Maps,1
Quel vin choisir pour accompagner une discussion sur le wokisme à Noël?,1
Les frères Lebrun annoncent mettre un terme à leur carrière après avoir découvert le beer-pong,1
Fact checking : Bachar al-Assad peut-il toucher le chômage après son abandon de poste ?,1
Tendances – Avoir de l'argent,1
"5 choses à savoir sur François Bayrou, le nouveau Premier ministre",1
Test – Votre sapin est-il le roi des forêts ou simplement un arbre mort ?,1
Russie – Vladimir Poutine lance sa fondation pour venir en aide aux dictateurs déchus,1
Syrie – Abou Mohammad al-Jolani promet une dictature moins tyrannique,1
"""La démission d'Emmanuel Macron"" à nouveau en tête des listes au Père Noël des Français",1
Total Energies lance ses particules fines goût Pomme-cannelle et menthe glaciale,1
"Secret Santa : 6 idées cadeaux pour "" l'autre con """,1
Reims – Il explique sa blague et tout le monde rigole,1
Kylian Mbappé accusé de s'être fait remplacer par un sosie qui jouait en Régionale 2,1
"Économies – Les pharmaciens habituels seront remplacés par des pharmaciens "" génériques """,1
In Memoriam : Bachar al-Assad,1
Les mauvais coups de 2024,1
Bayer lance son calendrier de l'Avent contenant 24 pesticides,1
Gojira participera à la cérémonie de destitution du gouvernement Barnier,1
"Emmanuel Macron s'engage à reconstruire Michel Barnier à l'identique "" d'ici 5 ans """,1
Manuel Valls s'introduit à Matignon après qu'un employé a laissé une fenêtre ouverte,1
In Memoriam : Michel Barnier (2024-2024),1
"Comme le veut la procédure, Michel Barnier sera bien catapulté dès le coucher du soleil",1
Il écrit un roman de 500 pages pendant son attente aux urgences,1
Il devient la première personne à tester tous les programmes de son lave-linge,1
"Dans une tribune, 100 lutins dénoncent l'invisibilisation de la Mère Noël",1
"Après le succès de ""L'Amour ouf"", Gilles Lellouche annonce le tournage de la suite ""La routine reloue""",1
Pourquoi votre ami expert en crypto est toujours locataire d'un studio ?,1
Inflation – Cette année les calendriers de l'avent n'auront qu'une seule case,1
Top 5 des organes à vendre pour financer vos trajets en train à Noël,1
"Black Friday : Après avoir acheté une tondeuse à -50%, il recherche désormais un jardin",1
Novembre – Le mois de trop ?,1
"85% des Français regrettent que le Black Friday soit devenu ""trop commercial""",1
"Pour réduire le déficit, Emmanuel Macron accepte d'être payé en visibilité",1
Le générique des douze coups de midi de nouveau élu personnalité préférée des chômeurs et des retraités,1
74% des Français affirment attendre le Black Friday pour racheter des fruits,1
Pour ou contre les enfants ?,1
"Paris 2026 – Pour lui succéder, Anne Hidalgo choisit un Vélib",1
Le dentiste qui posait des questions à ses patients pendant leur détartrage enfin radié,1
Le PSG prolonge Luis Enrique de deux éliminations supplémentaires en 1/8e de finale de Ligue des champions,1
Pierre Palmade condamné à regarder ses vidéos tournées pendant le confinement,1
"Avant d'accéder à cet article, souhaitez-vous arrondir votre somme pour soutenir Bernard Arnault ?",1
Don de sperme : un militant RN demande si le laboratoire n'a pas le magazine Valeurs actuelles,1
"Pour freiner la fonte des glaces, le gouvernement fait installer 3000 climatiseurs sur la banquise",1
Top 11 des signes astrologiques mieux que le vôtre,1
Prison ferme pour un salarié ayant réchauffé son reste de raclette dans le micro-ondes du bureau,1
Fact-check : Peut-on sortir de chez soi quand il neige ?,1
Test – Votre couple a-t-il plus d'avenir que le gouvernement ?,1
Le gouvernement annonce la création d'une épreuve de harcèlement scolaire dès le brevet du collège,1
"Standard&Poor's dégrade l'état de vos finances de ""Pas ouf"" à ""Pas folichon""",1
"Pour ou contre l'expression "" chaud patate "" ?",1
"L'intelligence artificielle ne sera jamais une menace pour l'humanité, selon ChatGPT",1
Narcotrafic : Bruno Retailleau veut former des policiers renifleurs de stupéfiants,1
"Benjamin Netanyahu bombarde le Pérou ""au cas où""",1
"NRJ – À partir du 20 novembre, Manu dans le 6/10 va doubler vos impôts",1
DAZN propose de rémunérer les téléspectateurs pour accéder à la chaîne,1
"Procès du RN : à court d'argument, Marine Le Pen plaide les effets de Mercure en rétrograde",1
Donald Trump nomme un partisan de la Terre plate à la tête de la NASA,1
Test – Quel dispositif anti-SDF êtes-vous ?,1
"Le Gorafi : ""Pourquoi nous rachetons CNEWS et FRANCE-SOIR""",1
Spécial Lunettes : Ne plus les perdre,1
"Match France-Israël – Pour ne pas être accusée d'antisémitisme, la France encaissera un but dans les cinq premières minutes",1
"Selon une étude, nous aurions davantage besoin de jours fériés que de Jean-François Copé",1
"France-Israël – Pour camoufler les chants antisémites, le stade de France diffusera des cris de singe",1
Pour ou contre Jean-Luc Reichmann ?,1
Valence – Le Premier ministre espagnol appelle les sinistrés à rester à l'abri chez eux lors de sa prochaine visite,1
"Paris – Après les zones à trafic limité, Anne Hidalgo veut tester les zones sans Parisien",1
"Selon une étude, la misère ne serait pas moins pénible au soleil",1
"Il découvre qu'il n'aime toujours pas faire à manger, même avec un Air Fryer",1
Test : Avec qui confondez-vous Quincy Jones ?,1
34 chefs d'accusation pour devenir président,1
Kim Jong-un envoie un missile de félicitations à Donald Trump,1
"Elle tweete ""not my president"" après avoir passé dix jours à New-York en 2012",1
Pour ou contre l'accrobranche ?,1
Vladimir Poutine réélu président des Etats-Unis,1
Kamala Harris refuse finalement l'investiture du parti Démocrate pour l'élection présidentielle américaine,1
Donald Trump annonce qu'il accepte la défaite de Kamala Harris,1
5000 pigeons voyageurs retrouvés dans une urne chez les Amish,1
Nevada – Un journaliste de BFM TV violemment percuté en direct par une boule d'herbe séchée,1
Snoop Dog promet d'allumer un joint pour chaque bulletin Kamala Harris dépouillé,1
"Pour empêcher toute forme de fraude, le Kentucky remplace tous ses bulletins par des bulletins Donald Trump",1
5 chiffres à savoir sur l'élection présidentielle américaine 2024,1
5 choses que vous ne savez pas sur Kamala Harris,1
5 choses que vous ne savez pas sur Donald Trump,1
Direct Live Election 2024,1
Trail : Il court 50 km pour obtenir un T-shirt,1
"Un lycée marseillais intègre un bac pro ""guetteur""",1
"Pour ne plus gêner les riverains, la sirène du premier mercredi du mois passe en mode Vibreur",1
"Pour Halloween, des Français veulent se faire peur au cinéma en allant voir le film 4 Zéros",1
Michel Barnier promet de n'utiliser le 49.3 que pour rendre hommage à Elisabeth Borne,1
10 métaux lourd pour assaisonner son thon à la catalane,1
Pour ou contre la colonne vertébrale ?,1
Écologie – Agnès Pannier-Runacher s'engage à planter un arbre pour chaque promesse non tenue,1
"En visite au Maroc, Emmanuel Macron achète pour 10 milliards d'euros de plats à tajine",1
"Pour prévenir les accidents, les vélos seront désormais munis d'un habitacle et de 4 roues",1
Bruno Retailleau propose de remplacer toutes les lois par des lois immigration,1
"Son post Instagram "" petit run du dimanche matin "" obtient enfin un like",1
Bruno Retailleau refuse que les migrants bénéficient gratuitement du passage à l'heure d'hiver,1
Gare Montparnasse – La SNCF abandonne finalement son projet de cornemuses en libre-service,1
Les meilleurs points de deal de l'Assemblée nationale,1
Elon Musk donnera 5 millions de dollars à tous ceux qui dessinent des pénis sur les affiches de Kamala Harris,1
Écologie – Israël s'engage à réduire de 80% le taux de plastique dans ses bombes,1
Pour ou contre Châteauroux ?,1
Ses parfaites connaissances de l'œuvre de Tolkien ne l'aident finalement pas à conclure,1
Déficit : le gouvernement veut trouver 4 milliards en économisant sur les frais de bouche de Gérard Larcher,1
Un requin devenu subitement cool depuis qu'il porte un collier avec une dent de surfeur,1
6 astuces pour s'habituer à un génocide,1
"Une battue organisée dans le Tarn-Et-Garonne pour retrouver la personne qui a ""bien aimé"" Joker 2",1
Liban – La France demande aux Casques bleus de mettre un deuxième casque,1
"Une étude révèle que demander 2 fois de suite ""Tu connais pas ça ??"" fait de vous un être détestable",1
Les meilleures armures pour faire du vélo dans Paris en toute sécurité,1
Emmanuel Macron décide de ne pas expliquer sa stratégie politique car les Français ne la comprendraient pas,1
Aéroport CDG – Anne Hidalgo va limiter la vitesse sur les pistes à 50 km/h,1
"Après son rachat par une société américaine, le Doliprane existera en version ""goût burger""",1
Pour ou contre les tabourets ?,1
"Pour faire remonter sa cote de popularité, Emmanuel Macron se déguise en phryge",1
Bruno Le Maire fustige le bilan économique désastreux d'Antoine Armand,1
Maltraitance en crèche : le lancer d'enfant désormais plus encadré,1
Donald Trump se tire dans la main avec un M17 et gagne 3 points dans le Michigan,1
Bruno Retailleau souhaite limiter les flux d'oiseaux migrateurs,1
Le premier chat d'aveugle abandonne son maître dès la première sortie,1
"Fact-check : Michel Barnier a-t-il vraiment enregistré Marine Le Pen dans son répertoire sous le nom ""ma vie"" ?",1
Dossier – 100 raisons de parler des courges butternut plutôt que de l'actu,1
"Profitant de la retraite de Nadal, Richard Gasquet annonce son retour",1
Recettes d'automne : 8 façons de ne pas cuisiner le topinambour,1
Fort Boyard : Les tigres finalement remplacés par Mathilde Panot,1
Pascal Praud affirme que la tempête Kirk vient voler le travail des tempêtes françaises,1
Une tondeuse à barbe prend sa retraite et se consacre aux poils pubiens,1
"7 jours après avoir regardé le film ""Les Collègues"", il voit Patrick Bosso sortir de sa télé",1
Le gouvernement annonce qu'il va diminuer les augmentations de baisses d'augmentation de diminution d'impôts,1
Test : quel ministre sorti de nulle part êtes-vous ?,1
Le Prix Nobel de médecine attribué à l'homme qui a découvert les micropuces 5G de Bill Gates dans les vaccins Covid,1
"Selon une étude, sur un malentendu ça peut marcher",1
"Narcotrafiquant, assassinat de Kennedy, combats clandestins : les nouvelles révélation sur l'Abbé Pierre",1
Les Français estiment que Bruno Retailleau n'est pas une chance pour la France,1
Insolite – Il ne boit pas d'alcool et personne ne lui fait la remarque,1
""" 100 conseils pour dire à une femme de se calmer "" : le nouveau livre de Gérald Darmanin fait polémique",1
"USA – Depuis le 1er Octobre, les tueries de masse sont interdites dans les lieux publics",1
Le film Le Comte de Monte-Cristo bientôt adapté en livre,1
"Effondrement de Niclounivis, la nouvelle attraction du Parc Astérix",1
La France demande solennellement à Israël de bombarder le Liban plus discrètement,1
100 astuces de Gérald Darmanin pour bien exploiter vos origines algériennes,1
Anne Hidalgo s'enchaîne aux anneaux olympiques pour qu'ils restent à Paris,1
Benjamin Netanyahou demande aux civils libanais de s'éloigner des sites abritant des civils,1
"Pornhub – ""Bernard-Henri Lévy"" toujours les mots-clés les plus recherchés par Bernard-Henri Lévy",1
Fact-check : Michel Barnier va-t-il vraiment jouer l'amant d'Emily In Paris dans la saison 5 ?,1
"Après avoir tourné sur elle-même pendant des années, la Terre s'arrête pour vomir",1
Le Japon affirme que la chasse au Paul Watson est uniquement dans un but scientifique,1
"LCL lance un prêt ""Étudiant +"" pour aider les étudiants à rembourser leur prêt étudiant",1
Autocensure – D'après une étude…Non rien,1
"Pour "" ne pas oublier la gauche "", Michel Barnier nomme Lucie Castets au "" ministère des Bolas """,1
"Après trente minutes passées sur X, un moine bouddhiste prête allégeance à Daech",1
Affaire Mazan – Notre classement des hommes qui n'ont rien fait,1
Michel Barnier souhaite nommer Ségolène Royal au self de Matignon,1
Test : Quel médaillé olympique avez-vous déjà oublié ?,1
"Exclusif – Selon Météo-France, le froid du mois de septembre était dû à l'arrivée d'air froid",1
""" T'Choupi va sur le pot "" pressenti pour le Goncourt 2024",1
"""Kaizen"" – Un escalier fait en coques RhinoShield retrouvé sur le flanc de l'Everest",1
Un député RN surpris en train de faire son travail,1
L'éveil Krav Maga bientôt enseigné dès la maternelle,1
"Michel Barnier : "" Je représenterai tous les citoyens, qu'ils soient LR, Renaissance ou RN """,1
"Accusé ""d'agir en mafieux"", Cyril Hanouna met une tête de cheval dans le slip du directeur de l'ARCOM",1
"Pour son anniversaire, il reçoit un livre qu'il n'a pas envie de lire d'un ami qui ne l'a pas lu",1
Anne Hidalgo veut limiter la vitesse des piétons dans Paris à 2km/h,1
Donald Trump accuse les migrants de mettre de la crème dans la carbonara,1
"Michel Barnier se dit ""ouvert"" à intégrer des ministres de gauche ""à condition qu'ils soient de droite""",1
8 vins fruités et ronds en bouche pour se mettre une grosse cuite,1
"Écologie – À partir du 15 septembre, les restaurants remplaceront leur papier toilette par un QR Code",1
"Après les JO, les volontaires bénévoles appelés en renfort à l'Éducation nationale",1
"L'enseignante suspendue pour avoir frappé un enfant, immédiatement recrutée comme CRS",1
"Les cagnottes d'anniversaire en ligne officiellement reconnues comme ""tentatives d'extorsion en bande organisée""",1
"L'homme qui disait ""prem' deg'"" plus de 3 fois par conversation n'a plus un seul ami",1
LFP – Kim Jong-un félicite Vincent Labrune pour sa réélection,1
"""Jennifer Lopez est de retour sur le marché, c'est bon ça !"" par Maurice, 57 ans, chef de rayon",1
Marcus Thuram autorisé à rejoindre l'équipe paralympique de cécifoot,1
"En souvenir des Jeux olympiques, Anne Hidalgo promet de garder la Seine sale",1
Clairefontaine – Jules Koundé gravement blessé à la cheville après un entraînement en talons aiguilles,1
3 choses que Center Parcs ne veut pas que vous sachiez,1
Premier ministre : Emmanuel Macron reconnaît avoir consulté Akinator,1
"Doigt d'honneur, bras d'honneur, Michel Barnier… 50 gestes efficaces pour insulter les Français",1
5 choses à savoir sur Michel Barnier,1
"Emmanuel Macron nomme la Phryge, mascotte des Jeux olympiques, au poste de Premier ministre",1
"Jeux Paralympiques – Les frères Lebrun disqualifiés après avoir tenté de jouer dans la catégorie "" siamois """,1
"Après 8 noyades, le comité paralympique annule finalement l'épreuve de natation-fauteuil",1
Amélie Oudéa-Castéra plonge dans la station d'épuration d'Evry pour prouver qu'elle est baignable,1
Make-A-Wish : Emmanuel Macron exauce le voeu d'un patient en lui dévoilant le nom du Premier ministre,1
Nouveau Premier ministre : la piste Richard Anconina s'éloigne,1
"Reformation d'Oasis – Gérald Darmanin annonce une "" tolérance zéro "" face à la recrudescence des reprises de ""Wonderwall""",1
"Après avoir consulté Joe Biden, Emmanuel Macron nomme François Mitterrand Premier ministre",1
La Ligue des champions débutera en mars pour laisser le temps aux clubs de comprendre la nouvelle formule,1
Prof de techno : Pourquoi ?,1
"En partant de l'Élysée, Emmanuel Macron a demandé à Lucie Castets de descendre les poubelles",1
Emmanuel Macron déclare une trêve paralympique,1
"Consultations – Emmanuel macron reçoit actuellement "" Pifou "", le marcassin chef de file du parti animaliste",1
"Pour profiter de sa notoriété, Léon Marchand vend l'eau de son pédiluve",1
