cleaned_headline,is_satirical,source
Les États-Unis s'engagent à fournir 20 000 drapeaux blancs à l'Ukraine,1,legorafi
"Élisabeth Borne salue le courage du pape François ""qui continue de travailler après 88 ans, lui""",1,legorafi
Donald Trump dévoile les codes de l'arme nucléaire sur X,1,legorafi
DAZN offre un abonnement à tous les Français dont le prénom comporte une voyelle,1,legorafi
Poisson artificiel,1,legorafi
Vladimir Poutine offre l'asile politique à Marine Le Pen,1,legorafi
Turquie – L'avocat de l'avocat du maire d'Istanbul arrêté à son tour,1,legorafi
Elon Musk déclare qu'il n'est pas raciste car il a un ami orange,1,legorafi
Le régime algérien se sent beaucoup plus en sécurité depuis qu'il a condamné un écrivain à de la prison ferme,1,legorafi
Donald Trump toujours incapable de dormir sans veilleuse depuis les menaces de Raphaël Glucksmann,1,legorafi
"Donald Trump fait supprimer les lettres L, G, B, T, Q, I et A de l'alphabet",1,legorafi
Texas – Un condamné à mort inquiet que son dernier repas contienne du gluten,1,legorafi
"Après la Coupe du Monde 2034, l'Arabie Saoudite organisera votre anniversaire",1,legorafi
"""OUIN OUIN OUIN OUIN OUIN OUIN"" par Frédéric Beigbeder",1,legorafi
"Pour participer à l'effort de guerre, la France relance la fabrication de FAMAS en cours de techno",1,legorafi
"Par amour, il suit un entraînement spécial pour retenir la date d'anniversaire de sa petite amie",1,legorafi
Marseille : Plusieurs piétons distraits gênent le bon déroulement d'un règlement de comptes,1,legorafi
"En cas de guerre, Emmanuel Macron annonce qu'il mobilisera en premier les chômeurs longue durée",1,legorafi
Ukraine : Vladimir Poutine propose l'envoi de 200 000 soldats russes comme force de maintien de la paix,1,legorafi
Des traces de bon sens retrouvées dans les emballages réemployables utilisés par un client qui achetait en vrac,1,legorafi
Des collégiens se retrouvent coincés avec une schizophrène de 26 ans pendant 2h,1,legorafi
Un sexagénaire se fait offrir de la cervelle par un schizophrène de 26 ans,1,legorafi
Liège : un schizophrène s'introduit dans l'appartement d'une femme avec une scie,1,legorafi
Des morceaux d'un compositeur disparu retrouvés au domicile d'un schizophrène,1,legorafi
Il se met au rugby pour donner un sens à son alcoolisme,1,legorafi
5 astuces pour faire la différence entre l'URSSAF et un brouteur,1,legorafi
"Deux heures après sa sortie, le nouveau tube de Patrick Bruel déjà programmé sur ""Nostalgie""",1,legorafi
"M6 demande à Cyril Hanouna d'humilier Bruno Guillon "" avec respect """,1,legorafi
"Il peine à gagner le respect de ses neveux alors qu'il utilise l'expression ""chokbar""",1,legorafi
"Après avoir échoué dans tous les domaines, il devient coach en reconversion professionnelle",1,legorafi
"Grâce aux économies qu'il a pu faire en achetant en vrac, il s'offre un billet d'avion pour les Seychelles",1,legorafi
"Durant son absence, le pape François sera remplacé par son fils",1,legorafi
Lutte contre le harcèlement de rue : les femmes invitées à ne plus se maquiller et à s'habiller en jogging super moches,1,legorafi
Un ancien SS hésite à se créer une page Copains d'avant,1,legorafi
Nicolas Sarkozy aide deux avocats à retrouver leur chemin dans les couloirs du tribunal de Paris,1,legorafi
"À 91 ans, il rembourse enfin son prêt étudiant",1,legorafi
Il retombe amoureux de sa femme le jour où sa maîtresse le quitte,1,legorafi
Fact-Checking : la vidéo où Trump tenait des propos décents a bien été générée par IA,1,legorafi
"Accro aux jeux vidéo, il piétine 8 tortues puis se coince dans un tuyau",1,legorafi
"En déplacement à Nouméa, Manuel Valls découvre qu'on ne lui a pas pris de billet retour",1,legorafi
Les 50 plus beaux harcèlements de Cyril Hanouna,1,legorafi
""" Recherche appartement ou maison "" sera désormais présenté par Jean-Marc Morandini",1,legorafi
Cyril Hanouna précipite son minibus avec ses chroniqueurs du haut d'une falaise,1,legorafi
Un enfant d'agriculteurs voit des Parisiens pour la première fois au Salon de l'Agriculture,1,legorafi
Il signe pour être steward mais se retrouve testeur de parachute,1,legorafi
Pour ou contre l'annulaire ?,1,legorafi
Le harcèlement moral en entreprise sera désormais confié à une Intelligence Artificielle,1,legorafi
Adolf Hitler scandalisé par les allégations d'appartenance au nazisme sur sa page Wikipédia,1,legorafi
Bruno Retailleau favorable à l'interdiction de sourire aux personnes en situation irrégulière,1,legorafi
Donald Trump ordonne à l'Ukraine de s'excuser d'avoir été envahie par la Russie,1,legorafi
"Doutant des capacités de Dieu, le Pape s'en remet à l'hôpital pour le guérir",1,legorafi
""" Serre Che "", ""Courche "", "" Val Tho "" : 8 expressions qui vous feront être détestés immédiatement",1,legorafi
"La cérémonie des César intégrera une catégorie ""Meilleur film sans François Civil""",1,legorafi
Fact-check : Votre budget 2025 peut-il lui aussi être rejeté par les députés ?,1,legorafi
Disneyland Paris : une nouvelle attraction simule un temps d'attente inférieur à 10 minutes,1,legorafi
Municipales à Paris – Les quatre candidats écologistes se départageront dans une course en Vélib,1,legorafi
Deux internautes surpris en train de débattre de façon cordiale sur X,1,legorafi
Big Flo et Oli avouent ne pas savoir non plus qui est Big Flo et qui est Oli,1,legorafi
La vidéo sur l'importance de déconnecter partagée 300 000 fois sur les réseaux sociaux,1,legorafi
"Selon Mediapart, François Bayrou a tout fait pour cacher aux Palois qu'ils habitaient à Pau",1,legorafi
Les 12 meilleurs quartiers de Dreux pour une soirée romantique,1,legorafi
"Saint-Valentin – Il se trompe de conversation et envoie "" je t'aime "" à sa femme",1,legorafi
Un acteur sombre dans la dépression après avoir découvert qu'il ne jouait pas dans Bref.2,1,legorafi
"Les effets du massage ""soin et relaxation"" s'estompent quand elle découvre son prix",1,legorafi
"Pour fêter leurs 7 ans, ils remplacent les rapports sexuels par des échanges de mèmes sur Instagram",1,legorafi
Dieu reporte la fin du monde en raison de chutes de neige,1,legorafi
"Selon une étude, les gens qui disent "" c'était mieux avant "" étaient beaucoup mieux avant",1,legorafi
"Selon des scientifiques, Michel Barnier n'a jamais existé et n'était qu'une hallucination collective",1,legorafi
Il oublie sa vie misérable en lisant deux milliardaires s'insulter sur un réseau social,1,legorafi
"11 ans après sa création, le compte LinkedIn de l'Urssaf obtient son premier like",1,legorafi
Donald Trump accepte de construire son Disneyland à Gaza en direction de la Mecque,1,legorafi
"François Bayrou qualifié de ""fragile"" par Élisabeth Borne pour n'avoir eu recours qu'à trois reprises au 49.3",1,legorafi
Les meilleurs fast-foods où travailler avec un master en sciences sociales,1,legorafi
"Après l'examen de ses tweets, Rachida Dati autorise Jean-Marc Morandini à continuer son émission",1,legorafi
Une maternité offre un enfant supplémentaire à sa millionième patiente,1,legorafi
Donald Trump confirme vouloir annexer Bourg-la-Reine,1,legorafi
Bernard Arnault entame une grève du caviar pour protester contre le projet de surtaxe des entreprises,1,legorafi
Mon enfant n'est pas HPI : que faire?,1,legorafi
Il devient champion du monde de mémoire en citant de tête toutes les affaires de Nicolas Sarkozy,1,legorafi
Donald Trump signe un ordre exécutif reconnaissant l'existence de la Terre Plate,1,legorafi
Gérard Larcher s'excuse pour l'installation d'un Burger King au Sénat,1,legorafi
Top 31 des jours les plus longs du mois de janvier,1,legorafi
Pierre Dac : L'Os à Moelle avec le Gorafi,1,legorafi
"Après un accident, un jeune de 22 ans entend toute sa vie défiler dans un vocal",1,legorafi
Un chirurgien oublie par inadvertance son stagiaire dans un patient,1,legorafi
Édito : Pourquoi Le Gorafi quitte le réseau social Pinterest,1,legorafi
Incendies en Californie – Le président Trump fait larguer 8000 litres de Coca Light sur les feux,1,legorafi
"Budget – Le gouvernement étudie la possibilité de taxer ""les SDF qui peuvent se le permettre""",1,legorafi
"Filmé en train d'envahir la Pologne, Elon Musk évoque un ""geste maladroit""",1,legorafi
"Pour compenser leur coût écologique, les logiciels d'IA généreront automatiquement une image d'arbres",1,legorafi
Guillaume Canet prépare une trilogie de biopic sur Guillaume Canet,1,legorafi
"Rencontre avec Régis, dernier CRS à ne pas être passé sur W9",1,legorafi
Elon Musk – Notre classement de ses meilleures aquarelles,1,legorafi
"Les personnes qui touchent le RSA devront désormais se faire tatouer ""je suis un vilain assisté"" sur le front",1,legorafi
"Sylvothérapie : faute d'arbres, un cadre parisien fait des câlins à des parcmètres",1,legorafi
Investiture – Donald Trump a prêté serment sur un Playboy,1,legorafi
Un faux Clovis Cornillac réussit à escroquer 7 euros à une femme sur internet,1,legorafi
Sur quelle plateforme insulter des inconnus après avoir quitté X ?,1,legorafi
"Le groupe WhatsApp intitulé "" chefs d'Etats sans Donald "" réactivé en urgence",1,legorafi
"Blue Monday : il s'habille tout en bleu, ses collègues préfèrent l'ignorer",1,legorafi
Top 5 des pistolets paralysants pour faire son jogging quand on est une femme,1,legorafi
"20 ans plus tard, il comprend enfin une scène de Mulholland Drive",1,legorafi
Mal-être au travail : Un patron visionnaire remplace l'intégralité de ses employés par des happiness managers,1,legorafi
Los Angeles – Des milliers de sinistrés obligés de vivre dans leur résidence principale,1,legorafi
Le forcené qui mettait de la compote de pommes dans les Galettes des rois abattu par le RAID,1,legorafi
Comment nudger votre quotidien et reset votre mindset pour ban les anglicismes ?,1,legorafi
Shein va désormais indiquer sur ses t-shirts l'âge de l'enfant qui l'a fabriqué,1,legorafi
Les Français pourront consulter gratuitement un psychologue pour parler de la politique d'Emmanuel Macron,1,legorafi
"Après une séance d'hypnose, François Bayrou découvre qu'il était un yaourt dans une vie antérieure",1,legorafi
Le prochain numéro de Rendez-vous en terre inconnue embarquera Élisabeth Borne dans une école publique,1,legorafi
10 rouquins à courser pour reprendre le sport,1,legorafi
"En hommage à Jean-Marie Le Pen, Europe 1 diffusera 12 heures de bruits de bottes",1,legorafi
"En hommage à Jean-Marie Le Pen, CNews jettera tous ses chroniqueurs d'origine algérienne dans la Seine",1,legorafi
Il reprend foi en son destin après que son profil est apparu dans 3 recherches sur LinkedIn,1,legorafi
"Avant de mourir, Jean-Marie Le Pen a vu toute sa vie défiler devant son œil",1,legorafi
Jean-Marie Le Pen devient enfin un détail de l'Histoire,1,legorafi
"Fact-checking : Emmanuel Macron a-t-il souhaité une ""bonne année 2025 à tous les Français, sauf les pauvres"" ?",1,legorafi
Le premier homme à avoir réussi à se connecter au WIFI SNCF avoue avoir menti,1,legorafi
"Pour remonter le moral des Français, L214 sort son bêtisier 2024",1,legorafi
Fact checking : êtes-vous vraiment tout ce que Mariah Carey veut pour Noël ?,1,legorafi
Personnalités de l'année 2024 : Les Phryges,1,legorafi
Nicolas Sarkozy offre un poste de député LR et une conférence de presse à son fils pour Noël,1,legorafi
"La femme qui cherchait "" un homme simple avec un peu d'humour "" sort finalement avec le DJ bodybuildé",1,legorafi
François Bayrou découvre Manuel Valls dans une fenêtre de son calendrier de l'Avent,1,legorafi
"Qu'est-ce que le ""manging en famille"", cette tendance qui revient souvent à Noël ?",1,legorafi
75% des Français favorables au remplacement de François Bayrou par un raton laveur,1,legorafi
"Selon une étude, la plus belle preuve d'amour serait de partager ses codes Canal+",1,legorafi
Mayotte – François Bayrou survolera l'île sur Google Maps,1,legorafi
Quel vin choisir pour accompagner une discussion sur le wokisme à Noël?,1,legorafi
Les frères Lebrun annoncent mettre un terme à leur carrière après avoir découvert le beer-pong,1,legorafi
Fact checking : Bachar al-Assad peut-il toucher le chômage après son abandon de poste ?,1,legorafi
Tendances – Avoir de l'argent,1,legorafi
"5 choses à savoir sur François Bayrou, le nouveau Premier ministre",1,legorafi
Test – Votre sapin est-il le roi des forêts ou simplement un arbre mort ?,1,legorafi
Russie – Vladimir Poutine lance sa fondation pour venir en aide aux dictateurs déchus,1,legorafi
Syrie – Abou Mohammad al-Jolani promet une dictature moins tyrannique,1,legorafi
"""La démission d'Emmanuel Macron"" à nouveau en tête des listes au Père Noël des Français",1,legorafi
Total Energies lance ses particules fines goût Pomme-cannelle et menthe glaciale,1,legorafi
"Secret Santa : 6 idées cadeaux pour "" l'autre con """,1,legorafi
Reims – Il explique sa blague et tout le monde rigole,1,legorafi
Kylian Mbappé accusé de s'être fait remplacer par un sosie qui jouait en Régionale 2,1,legorafi
"Économies – Les pharmaciens habituels seront remplacés par des pharmaciens "" génériques """,1,legorafi
